##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 3, 2016, 1:58 a.m.
## Download Date (Y/M/D): 2016/03/22
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;campaign&quot;:[&quot;0&quot;,&quot;1&quot;,&quot;2&quot;,&quot;3&quot;,&quot;4&quot;,&quot;5&quot;,&quot;6&quot;,&quot;7&quot;,&quot;8&quot;,&quot;9&quot;],&quot;kics&quot;:[],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;camp&quot;,&quot;bjd0&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
#KIC,camp,period,bjd0,pwidth,swidth,sep,
205703649,K2C2,4.0583240,56895.818616,0.0628,-1.0000,1.0000,
205728169,K2C2,1.7893866,56894.280075,0.1149,0.1073,0.5024,
205728486,K2C2,1.7893197,56894.311278,0.1299,0.1131,0.5058,
205906302,K2C3,0.3447051,2456981.912150,0.2152,-1.0000,1.0000,
205919993,K2C3,11.0014607,2456993.488960,0.0097,0.0095,0.5516,
205934569,K2C3,0.5426240,2456979.841680,0.1900,-1.0000,1.0000,
205934874,K2C3,1.2356920,2456980.494270,0.0536,0.0602,0.4996,
205936222,K2C3,100,2456985.776700,0.0018,-1.0000,1.0000,
205945953,K2C3,0.9426586,2456980.042670,0.1734,-1.0000,1.0000,
205947214,K2C3,54.1873499,2456983.712550,0.0037,-1.0000,1.0000,
205955699,K2C3,0.4560280,2456979.585890,0.0902,-1.0000,1.0000,
